"votes.Томенко","votes.Бондаренко","votes.Берёза","votes.Гусовский","votes.Пузанов","votes.Мирный","votes.Поживанов","company","period","sample","method","link","votes.Батькивщина","votes.Слуга народа","votes.Блок Порошенко","votes.Гражданская позиция","votes.Рідна країна","votes.Рух новых сил","votes.Самопомощь","votes.Партия О.Ляшко","votes.Свобода","votes.Оппозиционный блок","votes.Другая партия/Другой кандидат","votes.Не пойду на выборы","votes.Затруднились ответить","votes.Против всех","votes.Тимошенко","votes.Порошенко","votes.Зеленский","votes.Гриценко","votes.Вакарчук","votes.Рабинович","votes.Садовый","votes.Ляшко","votes.Бойко","votes.Королевская","error","votes.За життя","votes.Рух «Справедливость»","votes.Партия Надежды Савченко","votes.Единый Центр","votes.Возрождение","votes.УКРОП","votes.Народный фронт","votes.Сильная Украина","votes.Сила людей","votes.Наш край","votes.Народный контроль","votes.5.10","votes.Кличко","votes.Омельченко","votes.Монтян","votes.Думчев","votes.Балашов","votes.Богдан","votes.Мигаль","votes.Рябоконь","votes.Мамоян","votes.Шахов","votes.Мошенский","votes.Кобзарь","votes.Краснов","votes.Рычкова","votes.Микитась","votes.Власенко","votes.Блауш","votes.Фирсов","votes.Насалик","votes.Шевченко","votes.Тебешевская","votes.Гошовский","votes.Сикора","votes.Вилкул","votes.Семенченко","votes.Колесник","votes.Сова","votes.Левицкий","votes.Бойченко","votes.Бородин","votes.Тернавский","votes.Шекула","votes.Ярошенко","votes.Молодежь к власти","votes.Доверяй делам","votes.СДП","votes.Соколов","votes.Сухомлин","votes.Цимбалюк","votes.Атрошенко","votes.Казаков","votes.Грицишин","votes.Филатов","votes.Райкович","votes.Стрижаков","votes.Миколаенко","votes.Мангер","votes.Буряк","votes.Фролов","votes.Ефимов","votes.Панков","votes.Каспрук","votes.Михайлишин","votes.Вершина","votes.Терехов","votes.Моргунов","votes.Щербаковская","votes.Кошулинский","votes.Ефименко","votes.Дикий","votes.Малецкий","votes.Калашник","votes.Марцинкив","votes.Романюк","votes.Товстенюк","votes.Европейская партия","votes.Савченко","votes.Качур","votes.Ратушняк","votes.Андреев ","votes.Чубирко","votes.Бадида","votes.Волошин","votes.Иванян","votes.Поддубная","votes.Пилипенко","votes.Дроздова","votes.Головач","votes.Кавунник","votes.Плахотник","votes.Поруч","votes.Родной город","votes.Солидарность правых сил","votes.Надал","votes.Пастух","votes.Ландяк","votes.Блихар","votes.Вонс","votes.Пивторак","votes.Царик","votes.Кинаш","votes.Труханов","votes.Боровик","votes.Гурвиц","votes.Кивалов","votes.Фабрикант","votes.Вейдер","votes.Морская партия","votes.Кальцев","votes.Син","votes.Старух","votes.Новая политика","votes.Волонтерская партия","votes.Блок Дарта Вейдера","votes.Единство","votes.Решительные граждане","votes.Демократический альянс","votes.Гацько","votes.Корбан","votes.Ехануров","votes.Гражданская сила","votes.УГП","votes.НРУ","votes.Рух за реформы","votes.Кернес","votes.Ситенко","votes.Сапронов","votes.Балута","votes.Давтян","votes.Родзинский","votes.Швайка","votes.Меркулова","votes.Гирняк","votes.Добродомов","votes.Юринець","votes.Курячий","votes.Чеберда","votes.Чурило","votes.Леонов","votes.Бедей","votes.Копча","votes.Национальный корпус","votes.Хомко","votes.Якимец","votes.Муляренко","votes.Бучинский","votes.Кантарий","votes.Лащук","votes.Шинкаренко","votes.Заричнюк","votes.Цинко","votes.Аграрная партия","votes.Бабенко","votes.Светловский","votes.Крыжов","votes.Смалий","votes.Караманиц","votes.Милобог","votes.Партия ветеранов Афганистана","votes.Лысенко","votes.Епифанов","votes.Клочко","votes.Лантушенко","votes.Жук","votes.Крамченков","votes.Гринцов","votes.Гранатуров","votes.Дятлов","votes.Сенкевич","votes.Воронов","votes.Клименко","votes.Жело","votes.Губский","votes.Кроль","votes.Воля","votes.Социалисты","votes.Баляш","votes.Лях","votes.Зонтов","votes.Казацкий","votes.Третьяков","votes.Нечипоренко","votes.Табалов","votes.Атаманчук","votes.Санасарян","votes.Пузаков","votes.Михальонок","votes.Максюта","votes.ППУ","votes.Зинкевич","votes.Васюник","votes.Галасюк","votes.Тягнибок","votes.Яценюк","votes.Якимчук","votes.Мельничук","votes.Пургаш","votes.Кушнирик","votes.Козак","votes.Коломиец","votes.Кишлярук","votes.КПУ","votes.Гришин","votes.Завгородняя","votes.Пожидаев","votes.Зотов","votes.Кныш","votes.Бакай","votes.Гончарук","votes.Шаповалов","votes.Чепурной","votes.Синица","votes.Степаненко","votes.Дихтярь","votes.Подколзин","votes.Кумпан","votes.Чернышин","votes.Белоцерковская","votes.Самарский","votes.Фурман","votes.Бутков","votes.Пригеба","votes.Романенко","votes.Нова держава","votes.СДПУ(о)","votes.Булавка","votes.Крупский","votes.Шебанов ","votes.Закора","votes.Правый сектор","votes.За конкретные дела","votes.Фисак","votes.Старун","votes.Бычков","votes.Киселев","votes.Бовкун","votes.Лященко","votes.Кравец","votes.Наявко","votes.Рыбаков","votes.Сидоренко","votes.Минько","votes.Романов","votes.Чаппа","votes.Рябиков","votes.Андрос","votes.Метелица","votes.Искандеров","votes.Тихонов","votes.Житник","votes.Кириленко","votes.Волошенков","votes.Гройсман","votes.УДАР","votes.Саакашвили","votes.Коломойский","votes.Черкащани","votes.Партия вольных демократов","votes.Совесть Украины","votes.Одарыч","votes.Матковский","votes.Мамай","votes.Фельдман","votes.Зинькевич","votes.Степанов","votes.Коломак","votes.Кошляк","votes.Пономарь","votes.Муц","votes.Анушкевичус","votes.Кулинич","votes.Слободян","votes.А.Дятлов","votes.Найда","votes.Молодёжная партия Украины","votes.Мухтаров","votes.Хортив","votes.Денищенко","votes.Козюберда","votes.Маслов","votes.Рогалев","votes.Феленко","votes.Цибуля","votes.Татарченко","votes.Ярош","votes.Литвинов","votes.Бессонный","votes.Сергиенко","votes.Пучков","votes.Чиж","votes.Дебой","votes.Кизин","votes.Шелудченко","votes.Буравков","votes.Давиденко","votes.Сальдо","votes.Погребной","votes.Гордеев","votes.Дмитриев","votes.Яременко","votes.Богданов","votes.Опанащенко","votes.Силенков","votes.Новые лица","votes.Катеринчук","votes.Добкин","votes.Райнин","votes.Тигипко","votes.Симоненко","votes.Коба","votes.Бугайчук","votes.Левченко","votes.Блок В.Миколаенко","votes.Левая оппозиция","votes.Партия «Херсонцы»","votes.ЛПУ","votes.Гирин","votes.Самойлик","votes.Мочанов","votes.Ильенко","votes.Александровская","votes.Кожемяко","votes.Маринин","votes.Попов","votes.СПУ","votes.Куличенко","votes.Заяц","votes.Ступак","votes.Шабанов","votes.Скорик","votes.Киван","votes.Гончаренко","votes.Ильюк","votes.Исаков","votes.Кремень","votes.Садиков","votes.Казакова","votes.Бусенков","votes.Романовский","votes.Адамчук","votes.Березкин","votes.Онул","votes.Прокопенко","votes.Кравченко","votes.Гладкий","votes.Струк","votes.Кремечуцкий","votes.Коваленко","votes.Родина","votes.Момот","votes.Епифанцева","votes.Жолобецкий","votes.Арахамия","votes.Янцен","votes.Симченко","votes.Романчук","votes.Надоша","votes.Воля народу","votes.Шурма","votes.Бабурин","votes.Сабашук","votes.Карташов","votes.Самардак","votes.Артюшенко","votes.Пономарчук","votes.Мухин","votes.Березенко","votes.Зверев","votes.Андрейченко","votes.Мищенко","votes.Зуб","votes.Демьяненко","votes.Пармс","votes.Мельник","votes.Захорольский","votes.Лесничий","votes.Гузенко","votes.Матвийчук","votes.Чекита","votes.Гриневецкий","votes.Дануца","votes.Топчий","votes.Марковский","votes.Погребнюк","votes.Саинсус","votes.Луценко","votes.Емец","votes.Козырь","votes.Антощенко","votes.Ентин","votes.Токарь","votes.Матыцин","votes.Холод","votes.Алайбов","votes.Албу","votes.Азаров","votes.Дубенко","votes.Оробец","votes.Кисловский","votes.Кужель","votes.Пилипишин","votes.Макеенко","votes.Партия регионов","votes.Украина - Вперёд!","votes.Бондарчук","votes.Зеленая планета","votes.Национальный рух Д.Яроша","votes.Объединение правых партий","votes.Партия Вакарчука","votes.Блок Левых Сил","votes.Партия участников АТО","votes.Заступ","votes.Украина - единая страна","votes.Фронт перемен","votes.Центр","votes.Украинский выбор","votes.Наша Украина","votes.ПЗУ","votes.Народная партия","votes.ПСПУ","votes.Русский блок","votes.УП Собор","votes.Україна Майбутнього","votes.Зелёные","votes.Каплин","votes.Богомолец","votes.Ахметов","votes.Гриненко","votes.Цушко","votes.Царёв","votes.Парубий","votes.Медведчук","votes.Билецкий","votes.Наливайченко","votes.Янукович","votes.Ющенко","votes.Богословская","votes.Литвин","votes.Витренко"
,,,,,,,"Социологическая группа «Рейтинг» от имени IRI","20.01.2017 - 12.02.2017","19000","личное интервью","http://ratinggroup.ua/ru/research/ukraine/tretiy_vseukrainskiy_municipalnyy_opros.html","11",,"6","11",,"3","13","5","14",,"16.00",,"16.00",,,,,,,,,,,,"3.5 %",,,"2",,,,"2",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа «Рейтинг» от имени IRI","20.01.2017 - 12.02.2017","19000","личное интервью","http://ratinggroup.ua/ru/research/ukraine/tretiy_vseukrainskiy_municipalnyy_opros.html","7",,"5","2",,,"7","5","2","14","8.00",,"35.00",,,,,,,,,,,,"3.5 %","11",,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа «Рейтинг» от имени IRI","20.01.2017 - 12.02.2017","19000","личное интервью","http://ratinggroup.ua/ru/research/ukraine/tretiy_vseukrainskiy_municipalnyy_opros.html","12",,"5","2",,,"3","6","4","9","16.00",,"38.00",,,,,,,,,,,,"3.5 %","3",,,,,"2",,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"The Belgium-Ukraine Research Institute (BURI)","14.05.2018 - 25.05.2018","2024","личное интервью","http://leuropeennedebruxelles.com/520607/ukraine-voters-strive-for-new-faces-eight-parties-to-enter-the-parliament-and-rabinovich-and-boyko-to-share-voters-affinity-in-the-east-poll-suggests.html","16.2","5.1","9.6","8.1",,,"5.3","8.7",,"7.6","10.00",,"15.10",,,,,,,,,,,,"2.2 %","9.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Центр социальных и маркетинговых исследований SOCIS по заказу ""РАНД""","11.05.2018 - 22.05.2018","3000","личное интервью","http://socis.kiev.ua/ru/2018_05_2/","9.7","7.2","8.8","6.9",,,"4.3","5","2.8","5.5",,,,,,,,,,,,,,,"2.0 %","4.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Фонд «Демократические инициативы» и Центр Разумкова","19.05.2018 - 25.05.2018","2019","личное интервью","https://dif.org.ua/article/viborchi-reytingi-traven-2018","12.6","5","7.8","10.7",,,"5.1","7.9","3.3","8.5","16.20",,"13.30",,,,,,,,,,,,"2.3 %","8.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа «Рейтинг» по заказу IRI","15.03.2018 - 31.03.2018","2400","личное интервью","http://ratinggroup.ua/ru/research/ukraine/0063e745819871f4c681514866a6c0cf.html","9","3","5","5",,,"4","5","2","5","14.00","19.00","22.00",,,,,,,,,,,,"2.0 %","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Институт анализа и прогнозирования и  аналитическая группа ""Социопрогноз""","03.05.2018 - 15.05.2018","2022","личное интервью","http://www.iap.org.ua/?p=834","13.4",,"8","6.7",,,"4.4","6.4","2.2","6.4","12.60","17.20","15.80",,,,,,,,,,,,"2.2 %","6.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"«Социс» и «Рейтинг»","24.11.2016 - 02.12.2016","4000","личное интервью","http://ratinggroup.ua/ru/research/ukraine/obschestvenno-politicheskaya_situaciya_v_ukraine.html","10",,"9.3","4.8",,"2.8","6.4","5.8","3.2","7.3","9.20","22.40","12.30",,,,,,,,,,,,"1.5 %","5.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа «Рейтинг»","10.11.2016 - 17.11.2016","2000","личное интервью","http://ratinggroup.ua/research/ukraine/elektoralnye_nastroeniya_naseleniya_i_ocenka_socialno-ekonomicheskoy_situacii_v_ukraine.html","10.1",,"7.7","3.6",,"1.9","4","5.1","3.6","6.4","12.00","26.70","14.20",,,,,,,,,,,,"2.2 %","3.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Центр социальных исследований «София»","01.11.2016 - 13.11.2016","2017","личное интервью","http://sofia.com.ua/page176.html","9.7",,"8","2.7",,"1.6","6.4","5.9","3.2","8.5","11.90","18.50","14.00","5.90",,,,,,,,,,,"2.2 %","2.3",,,,,"1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Центр Разумкова","04.11.2016 - 09.11.2016","2018","личное интервью","http://www.razumkov.org.ua/ukr/upload/2_Press1116.pdf","9.1",,"9.5","3.4",,"1.5","6.5","4.8","2.6","7.4","14.30","18.60","17.00",,,,,,,,,,,,"2.3 %","3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Киевский Международный Институт Социологии КМИС","04.11.2016 - 13.11.2016","2039","личное интервью","http://www.kiis.com.ua/?lang=ukr&cat=reports&id=660&page=1","8.4",,"5.8","2.7",,"1.3","2.6","3.9","2.4","4.4","7.70","22.40","27.70","6.00",,,,,,,,,,,"3.3 %","3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа «Рейтинг»","28.09.2016 - 07.10.2016","2400","личное интервью","http://ratinggroup.ua/ru/research/ukraine/obschestvenno-politicheskie_nastroeniya_naseleniya_oktyabr_2016.html","9",,"8","4",,,"5","6","3","6","15.00","21.00","18.00",,,,,,,,,,,,"2.0 %","3",,,,"2",,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Киевский Международный Институт Социологии КМИС","16.09.2016 - 26.09.2016","2040","личное интервью","http://www.kiis.com.ua?lang=ukr&cat=reports&id=647&page=1","6.3",,"5.9","2.4",,,"4.2","3.9","1.6","5.3","6.70","22.30","31.10","5.80",,,,,,,,,,,"3.3 %","2.1",,,,,"1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Центр социальных исследований «София»","26.08.2016 - 05.09.2016","2007","личное интервью","http://sofia.com.ua/page175.html","12.1",,"12.6","3.1",,"5.7","7.6","7.9","4.3","13.1","14.30",,"10.30","5.60",,,,,,,,,,,"2.2 %","1.5",,,,,"1.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
